city,drive,fuelType,highway,make,model,,VClass
20,Front-Wheel Drive,Regular,28,Suzuki,Forenza,Manual,Compact Cars
19,Front-Wheel Drive,Regular,28,Suzuki,Reno,Automatic,Compact Cars
21,Front-Wheel Drive,Regular,24,Plymouth,Reliant Wagon,Automatic,Midsize-Large Station Wagons
20,Front-Wheel Drive,Regular,28,Suzuki,Reno,Manual,Compact Cars
21,Front-Wheel Drive,Regular,31,Toyota,Camry Solara,Manual,Compact Cars
22,Front-Wheel Drive,Regular,31,Toyota,Camry Solara,Automatic,Compact Cars
18,Front-Wheel Drive,Regular,27,Toyota,Camry Solara,Automatic,Compact Cars
18,Front-Wheel Drive,Regular,26,Toyota,Camry Solara Convertible,Automatic,Compact Cars
19,Front-Wheel Drive,Regular,28,Volkswagen,Jetta,Manual,Compact Cars
19,Front-Wheel Drive,Regular,28,Volkswagen,Jetta,Automatic,Compact Cars
19,Front-Wheel Drive,Regular,28,Volkswagen,Rabbit,Manual,Compact Cars
22,Front-Wheel Drive,Regular,32,Plymouth,Reliant Wagon,Manual,Midsize-Large Station Wagons
19,Front-Wheel Drive,Regular,28,Volkswagen,Rabbit,Automatic,Compact Cars
18,4-Wheel or All-Wheel Drive,Premium,26,Volvo,S40 AWD,Manual,Compact Cars
18,4-Wheel or All-Wheel Drive,Premium,26,Volvo,S40 AWD,Automatic,Compact Cars
19,Front-Wheel Drive,Premium,27,Volvo,S40 FWD,Manual,Compact Cars
20,Front-Wheel Drive,Premium,28,Volvo,S40 FWD,Automatic,Compact Cars
18,Front-Wheel Drive,Premium,27,Volvo,S40 FWD,Manual,Compact Cars
19,Front-Wheel Drive,Premium,28,Volvo,S40 FWD,Automatic,Compact Cars
17,4-Wheel or All-Wheel Drive,Premium,25,Volvo,S60 AWD,Automatic,Compact Cars
18,4-Wheel or All-Wheel Drive,Premium,26,Volvo,S60 AWD,Automatic,Compact Cars
18,Front-Wheel Drive,Premium,26,Volvo,S60 FWD,Manual,Compact Cars
20,Front-Wheel Drive,Regular,23,Plymouth,Reliant Wagon,Automatic,Midsize-Large Station Wagons
18,Front-Wheel Drive,Premium,26,Volvo,S60 FWD,Automatic,Compact Cars
19,Front-Wheel Drive,Premium,28,Volvo,S60 FWD,Automatic,Compact Cars
19,Front-Wheel Drive,Premium,28,Volvo,S60 FWD,Automatic,Compact Cars
16,4-Wheel or All-Wheel Drive,Premium,23,Volvo,S60 R AWD,Manual,Compact Cars
15,4-Wheel or All-Wheel Drive,Premium,23,Volvo,S60 R AWD,Automatic,Compact Cars
18,Front-Wheel Drive,Premium,27,Audi,A6,Automatic,Midsize Cars
17,4-Wheel or All-Wheel Drive,Premium,25,Audi,A6 quattro,Automatic,Midsize Cars
16,4-Wheel or All-Wheel Drive,Premium,23,Audi,A6 quattro,Automatic,Midsize Cars
16,4-Wheel or All-Wheel Drive,Premium,23,Audi,A8,Automatic,Midsize Cars
