Year,Term,Modality,Course,Coreq,pct_grade,d_grade
2022,Summer,O,146,Y,93.23,3.9
2023,Spring,O,146,Y,93.17,3.8
2019,Winter,IP,98,N,93.17,3.9
2022,Fall,H,107,Y,93.11,3.8
2021,Summer,OC,146,Y,93.1,3.8
2021,Summer,OC,146,Y,93.09,3.8
2020,Summer,OC,152,N,93.01,3.8
2019,Spring,IP,142,N,92.92,4
2021,Winter,OC,146,N,92.9,3.8
2024,Fall,O,146,N,92.8,3.8
2021,Fall,H,146,N,92.8,3.9
2021,Winter,OC,146,Y,92.79,3.8
2023,Spring,O,146,Y,92.76,3.8
2020,Fall,IP,146,Y,92.75,4
2020,Fall,IP,146,Y,92.74,4
2024,Fall,H,99,Y,92.73,3.8
2021,Summer,OC,146,Y,92.68,3.8
2021,Fall,H,146,N,92.66,3.9
2020,Summer,OC,211,N,92.61,3.8
2022,Summer,O,211,N,92.6,3.8
2019,Spring,IP,146,N,92.49,3.8
2022,Fall,H,146,Y,92.45,3.7
2022,Fall,H,107,Y,92.45,3.8
2023,Spring,O,146,Y,92.39,3.7
2022,Summer,O,211,N,92.38,3.8
2021,Winter,OC,146,N,92.38,3.7
2021,Summer,OC,146,Y,92.37,3.8
2024,Fall,H,99,Y,92.31,3.7
2020,Spring,OC,211,N,92.18,3.9
2019,Winter,IP,141,N,92.17,3.9
2019,Spring,IP,146,N,92.11,3.8
2021,Fall,H,146,Y,92.1,3.8
2020,Spring,OC,211,N,92.1,3.9
2024,Fall,H,99,Y,92.08,3.7
2021,Fall,H,146,N,92.06,3.8
2019,Fall,IP,152,Y,92.05,3.9
2023,Winter,O,146,Y,92.03,3.8
2022,Winter,H,107,Y,92.01,3.8
2020,Spring,OC,152,N,91.98,4
2023,Winter,H,151,N,91.95,3.6
2020,Summer,OC,211,N,91.81,3.7
2019,Summer,IP,152,N,91.65,4
2023,Spring,O,146,N,91.64,3.7
2019,Winter,IP,98,N,91.63,3.8
2021,Winter,OC,146,N,91.61,3.7
2019,Summer,IP,152,N,91.59,4
2019,Summer,IP,152,N,91.55,4
2021,Spring,OC,146,Y,91.51,3.7
2019,Fall,IP,152,Y,91.47,3.9
2024,Fall,O,146,N,91.42,3.6
2020,Summer,OC,152,N,91.42,3.8
2022,Fall,H,146,Y,91.38,3.7
2020,Fall,OC,208,N,91.32,3.7
2024,Winter,O,146,Y,91.29,3.6
2024,Fall,H,99,Y,91.28,3.6
2019,Winter,IP,152,N,91.26,3.9
2024,Summer,O,146,Y,91.19,3.6
2020,Fall,OC,208,N,91.17,3.7
2019,Fall,IP,152,Y,91.16,3.8
2023,Winter,H,151,N,91.16,2.6
2024,Summer,O,146,Y,91.11,3.6
2019,Summer,IP,152,N,91.11,4
2021,Summer,OC,146,Y,91.08,3.7
2023,Spring,O,146,Y,91.06,3.6
2020,Fall,OC,208,N,90.99,3.7
2019,Summer,IP,152,N,90.99,4
2022,Winter,H,146,Y,90.99,3.6
2021,Winter,OC,146,Y,90.97,3.7
2022,Fall,H,107,Y,90.94,3.7
2021,Spring,OC,146,Y,90.92,3.7
2024,Summer,O,148,N,90.91,3.6
2021,Spring,OC,146,Y,90.82,3.7
2023,Winter,H,151,N,90.8,1.5
2024,Winter,H,146,Y,90.78,3.6
2020,Spring,OC,211,N,90.77,3.9
2019,Spring,IP,146,N,90.74,3.8
2021,Summer,OC,146,Y,90.73,3.7
