state,name,delta_population,delta_median_hshld_income,delta_median_age,delta_pct_white,delta_pct_bachelors,delta_pct_poverty
Georgia,Appling County,1102,934,0.3,-0.85,3.2,2.5
Georgia,Atkinson County,733,-771,1.5,-0.37,0.2,-0.6
Georgia,Bacon County,1216,7395,1.8,-2.36,4.4,6.7
Georgia,Baker County,-874,16405,6.4,4.54,-1.2,-10.5
Georgia,Baldwin County,206,-229,0.7,-1.14,1,2.6
Georgia,Banks County,4212,1727,2.8,-1.44,1.4,-1.6
Georgia,Barrow County,32917,7161,2.2,-1.62,2.4,0.6
Georgia,Bartow County,29035,3177,1.4,-1.45,2.9,0.2
Georgia,Ben Hill County,-488,2210,1.8,-1.09,-2.1,3.5
Georgia,Berrien County,2951,6095,2.2,-0.88,0.9,0.6
Georgia,Bibb County,-1025,-615,0.5,-2.77,2.3,4.3
Georgia,Bleckley County,1164,5027,-1.8,-0.05,7.1,3.5
Georgia,Brantley County,4102,-531,3.1,-0.75,2.9,0.4
Georgia,Brooks County,-863,-6419,4.4,-1.23,-2.2,6.6
